YEAR,Hydroelectric,Wind,Biomass,Solar,Geothermal,Total,YEAR,% Hydroelectric,% Wind,% Biomass,% Solar,% Geothermal
1949,94773,0,386,0,0,95159,1949,99.6,0.0,0.4,0.0,0.0
1950,100885,0,390,0,0,101274,1950,99.6,0.0,0.4,0.0,0.0
1951,104376,0,391,0,0,104767,1951,99.6,0.0,0.4,0.0,0.0
1952,109708,0,482,0,0,110190,1952,99.6,0.0,0.4,0.0,0.0
1953,109617,0,389,0,0,110007,1953,99.6,0.0,0.4,0.0,0.0
1954,111640,0,263,0,0,111903,1954,99.8,0.0,0.2,0.0,0.0
1955,116236,0,276,0,0,116512,1955,99.8,0.0,0.2,0.0,0.0
1956,125237,0,152,0,0,125388,1956,99.9,0.0,0.1,0.0,0.0
1957,133358,0,177,0,0,133535,1957,99.9,0.0,0.1,0.0,0.0
1958,143615,0,175,0,0,143790,1958,99.9,0.0,0.1,0.0,0.0
1959,141155,0,153,0,0,141307,1959,99.9,0.0,0.1,0.0,0.0
1960,149440,0,140,0,33,149614,1960,99.9,0.0,0.1,0.0,0.0
1961,155536,0,126,0,94,155756,1961,99.9,0.0,0.1,0.0,0.1
1962,172016,0,128,0,100,172244,1962,99.9,0.0,0.1,0.0,0.1
1963,168990,0,128,0,168,169286,1963,99.8,0.0,0.1,0.0,0.1
1964,180302,0,148,0,204,180653,1964,99.8,0.0,0.1,0.0,0.1
1965,196984,0,269,0,189,197442,1965,99.8,0.0,0.1,0.0,0.1
1966,197938,0,334,0,188,198459,1966,99.7,0.0,0.2,0.0,0.1
1967,224949,0,316,0,316,225581,1967,99.7,0.0,0.1,0.0,0.1
1968,225873,0,375,0,436,226684,1968,99.6,0.0,0.2,0.0,0.2
1969,253468,0,320,0,615,254403,1969,99.6,0.0,0.1,0.0,0.2
1970,250957,0,356,0,525,251839,1970,99.6,0.0,0.1,0.0,0.2
1971,269531,0,311,0,548,270390,1971,99.7,0.0,0.1,0.0,0.2
1972,275929,0,331,0,1453,277712,1972,99.4,0.0,0.1,0.0,0.5
1973,275431,0,328,0,1966,277725,1973,99.2,0.0,0.1,0.0,0.7
1974,304212,0,251,0,2453,306915,1974,99.1,0.0,0.1,0.0,0.8
1975,303153,0,191,0,3246,306590,1975,98.9,0.0,0.1,0.0,1.1
1976,286924,0,266,0,3616,290807,1976,98.7,0.0,0.1,0.0,1.2
1977,223599,0,481,0,3582,227662,1977,98.2,0.0,0.2,0.0,1.6
1978,283465,0,338,0,2978,286780,1978,98.8,0.0,0.1,0.0,1.0
1979,283076,0,498,0,3889,287463,1979,98.5,0.0,0.2,0.0,1.4
1980,279182,0,433,0,5073,284688,1980,98.1,0.0,0.2,0.0,1.8
1981,263845,0,368,0,5686,269899,1981,97.8,0.0,0.1,0.0,2.1
1982,312374,0,321,0,4843,317538,1982,98.4,0.0,0.1,0.0,1.5
1983,335291,3,379,0,6075,341747,1983,98.1,0.0,0.1,0.0,1.8
1984,324311,6,886,5,7741,332950,1984,97.4,0.0,0.3,0.0,2.3
1985,284311,6,1383,11,9325,295035,1985,96.4,0.0,0.5,0.0,3.2
1986,294005,4,1177,14,10308,305508,1986,96.2,0.0,0.4,0.0,3.4
1987,252856,4,1477,10,10775,265123,1987,95.4,0.0,0.6,0.0,4.1
1988,226101,1,1674,9,10300,238085,1988,95.0,0.0,0.7,0.0,4.3
1989,271977,2112,36400,251,14593,325333,1989,83.6,0.6,11.2,0.1,4.5
1990,292866,2789,45782,367,15434,357238,1990,82.0,0.8,12.8,0.1,4.3
1991,288994,2951,49390,472,15966,357773,1991,80.8,0.8,13.8,0.1,4.5
1992,253088,2888,54345,400,16138,326858,1992,77.4,0.9,16.6,0.1,4.9
1993,280494,3006,55956,462,16789,356707,1993,78.6,0.8,15.7,0.1,4.7
1994,260126,3447,57066,487,15535,336661,1994,77.3,1.0,17.0,0.1,4.6
1995,310833,3164,56926,497,13378,384798,1995,80.8,0.8,14.8,0.1,3.5
1996,347162,3234,57712,521,14329,422958,1996,82.1,0.8,13.6,0.1,3.4
1997,356453,3288,58658,511,14726,433636,1997,82.2,0.8,13.5,0.1,3.4
1998,323336,3026,58786,502,14774,400424,1998,80.7,0.8,14.7,0.1,3.7
1999,319536,4488,59613,495,14827,398959,1999,80.1,1.1,14.9,0.1,3.7
2000,275573,5593,60726,493,14093,356479,2000,77.3,1.6,17.0,0.1,4.0
2001,216961,6737,49748,543,13741,287730,2001,75.4,2.3,17.3,0.2,4.8
2002,264329,10354,53709,555,14491,343438,2002,77.0,3.0,15.6,0.2,4.2
2003,275806,11187,53341,534,14424,355293,2003,77.6,3.1,15.0,0.2,4.1
2004,268417,14144,53537,575,14811,351485,2004,76.4,4.0,15.2,0.2,4.2
2005,270321,17811,54277,550,14692,357651,2005,75.6,5.0,15.2,0.2,4.1
2006,289246,26589,54861,508,14568,385772,2006,75.0,6.9,14.2,0.1,3.8
2007,247510,34450,55539,612,14637,352747,2007,70.2,9.8,15.7,0.2,4.1
2008,254831,55363,55034,864,14840,380932,2008,66.9,14.5,14.4,0.2,3.9
2009,273445,73886,54493,891,15009,417724,2009,65.5,17.7,13.0,0.2,3.6
2010,260203,94652,56089,1212,15219,427376,2010,60.9,22.1,13.1,0.3,3.6
2011,319355,120177,56671,1818,15316,513336,2011,62.2,23.4,11.0,0.4,3.0
2012,276240,140822,57622,4327,15562,494573,2012,55.9,28.5,11.7,0.9,3.1
2013,268565,167840,60858,9036,15775,522073,2013,51.4,32.1,11.7,1.7,3.0
2014,259367,181655,63989,17691,15877,538579,2014,48.2,33.7,11.9,3.3,2.9
2015,251168,190927,64191,26473,16767,549527,2015,45.7,34.7,11.7,4.8,3.1
